"title","img","desc","price"
"Foie gras entier",,,""
"Gamba roja del Mediterráneo",,,""
"Higos de cuello de dama",,,""
"Caballa",,,""
"Boletus",,,""
"Tortellini de paloma torcaz",,,""
" Bogavante azul",,,""
"Anguila ahumada",,,""
"Pâté en croûte",,,""
"Caviar Caspian Pearl (20 gr.)",,,""
"Plato del día",,,""
" Callos",,,""
" Jarrete de ternera homenaje a Santi Santamaría",,,""
"Steak tartar",,,""
"Cordero lechal",,,""
"Lenguado Meunière a la brasa",,,""
"Mero Salvaje",,,""
"Lubina Salvaje",,,""
" Bacalao",,,""
"Galete de Atún",,,""
"Pichón Mont Royal",,,""
"Solomillo de Vaca madurado",,,""
"Mollejas de ternera",,,""
"Pintada de bresse",,,""
"Menú Estaciones",,,""
"Estaciones",,,""
"Non Plus Ultra",,,""
"Zanahoria cítrica y brioche de Nantes",,,""
"Tartar y sus corales al ajillo",,,""
"Ensalada de escarolas, rúculas y picaña madurada",,,""
"Salsa de adobo, tomate cherry, papada confitada y codium",,,""
"A la brasa, conejo de monte, blanqueta y migas de pimentón ""El Sequero""",,,""
"Consomé de caza, infusión de castañas y angula de monte",,,""
"Ensalada de cogollos braseados, salsa de sus corales, cítricos y pimienta de Timut",,,""
"Pencas de acelga y velouté ibérica al palo cortado",,,""
"Verduras encurtidas",,,""
"Blinis y créme fraîche elaborada en casa",,,""
"Homenaje a Jockey",,,""
"Puré de patata y jugo de ternera (Precio por persona. Mínimo 2 personas)",,,""
"Patatas soufflé",,,""
"Paletilla confitada asada, berenjena ahumada y salsa de hierbas",,,""
"Verduras de temporada encurtidas",,,""
"Escabeche de aceituna de Campo Real y chirivía",,,""
"Salsa de champagne y hoja de higuera, chalotas y cebollitas del navazo",,,""
"Lomo confitado, guiso de caracoles y pilpil de hierbas",,,""
"Confitado y a la brasa, pimiento rojo asado, limón y albahacas",,,""
"Gnocchi de patata y albóndigas de sus interiores",,,""
"Tournedó, brioche y salsa café de París",,,""
"A la jardinera, verduras de temporada y salsa de alcaparras y estragón",,,""
"Pechuga rellena al Vadouvan, maíz y salsa de tomillo limonero",,,""
"(Lo mejor de la temporada)",,,""
