"title","img","desc"
"Kiwami","https://kimurayadubai.com/wp-content/uploads/2022/08/st1.jpg","Chutoro, Tuna, Yellowtail, Snapper, Snow Crab, Salmon, Shrimp, Sea Urchin, Salmon & Salmon Roe"
"Takumi","https://kimurayadubai.com/wp-content/uploads/2022/08/st2.jpg","Tuna, Salmon, Seared Salmon, Yellowtail, Shrimp, Eel, Salmon & Salmon Roe, Snow Crab, Tekka Maki"
"Utage","https://kimurayadubai.com/wp-content/uploads/2022/08/st3.jpg","Tuna, Salmon, Seared Salmon Yellowtail, Squid, Shrimp, Inari, Egg, Shiitake Mushroom, Tekka Maki"
"Blue Fin Nigiri 3kind","https://kimurayadubai.com/wp-content/uploads/2022/08/st4.jpg","Tuna, Chotoro, Ootoro"
"Executive Blue Fin Platter","https://kimurayadubai.com/wp-content/uploads/2022/08/st5.jpg","Tuna Kinds Nigiri & Shahimi"
"Blue Fin Sashimi 3 Kind","https://kimurayadubai.com/wp-content/uploads/2022/08/st6.jpg","Tuna, Chotoro, Ootoro"
"Tuna Special Platter","https://kimurayadubai.com/wp-content/uploads/2022/08/st7.jpg","Ootoro 2, Chutoro 2, Tuna Nigiri 2, Marinated Tuna 2, Negitoro Maki"
"Salmon Special Platter","https://kimurayadubai.com/wp-content/uploads/2022/08/st8.jpg","Salmon 2, Seared Salmon 2, Toro Salmon 2, Salmon & Salmon Roe, Salmon Maki"
