"title","img","desc"
"Okonomiyaki","https://kimurayadubai.com/wp-content/uploads/2022/08/sdd1.jpg","Wagyu beef and Cabbage Pan cake"
"Wagyu Tonpie Yaki","https://kimurayadubai.com/wp-content/uploads/2022/08/sdd2.jpg","Wagyu Omellete"
"Takoyaki","https://kimurayadubai.com/wp-content/uploads/2022/08/sdd3.jpg","Deep Fried octopus ball"
"Chicken Teriyaki","https://kimurayadubai.com/wp-content/uploads/2022/07/4-6.jpg","Grilled Chicken with Sweet soy Sauce"
"Agedashi Tofu","https://kimurayadubai.com/wp-content/uploads/2022/08/sdd5.jpg","Deep fried tofu with dashi"
"Keichi Yaki","https://kimurayadubai.com/wp-content/uploads/2022/08/sdd6.jpg","Grilled chicken and vegetable with miso sauce"
