"title","img","desc"
"OMAKASE 5 Kind Of Yakitori Platter","https://kimurayadubai.com/wp-content/uploads/2022/08/k1-1.jpg","5 Kind of Skewers"
"TSUKUNE 5 Kind Platter","https://kimurayadubai.com/wp-content/uploads/2022/08/k2.jpg","5kinds of Tsukune"
"5 Kind Of Vegetable Skewers","https://kimurayadubai.com/wp-content/uploads/2022/08/k3.jpg","Cherry Tomato, Shishito pepper, Shiitake mushroom, Asparagus, Eringi mushroom"
"Hokke","https://kimurayadubai.com/wp-content/uploads/2022/08/k4.jpg","Grilled Atka Mackerel"
"Unagi Kabayaki","https://kimurayadubai.com/wp-content/uploads/2022/08/k5.jpg","BBQ Eel"
"Gindara Saikyo-Yaki","https://kimurayadubai.com/wp-content/uploads/2022/08/k6.jpg","Grilled code-roe with sweet miso sauce"
"Salmon Teriyaki","https://kimurayadubai.com/wp-content/uploads/2022/08/k7.jpg","Grilled Salmon Loin with sweet soy sauce"
