"title","img","desc","price"
"The Macallan Whisky Sour

                                                                            
                                        The Macallan 12 Double Cask, zumo de Limón, sirope de azúcar, clara de huevo, angostura bitter
                                    
                                ",,,""
"The Macallan Espresso Martini

                                                                            
                                        The Macallan 12 Double Cask, Licor café, Café espresso, Sirope de azúcar
                                    
                                ",,,"15,00"
"Mint Julep

                                                                            
                                        Maker's Mark, sirope de azúcar, angostura, hojas de menta
                                    
                                ",,,"15,00"
"Jungle Negroni

                                                                            
                                        Brugal 1888, bitter Campari, sirope de piña
                                    
                                ",,,"9,50"
"1888 Sherry Touch

                                                                            
                                        Brugal 1888, Pedro Ximénez, refresco ginger beer
                                    
                                ",,,"9,50"
"Aperol Spritz

                                                                            
                                        Aperol, cava y soda
                                    
                                ",,,"13,50"
"Bloody mary

                                                                            
                                        Zumo de tomate, sal, pimienta, salsa perrins, tabasco y vodka
                                    
                                ",,,"9,00"
"Moscow mule

                                                                            
                                        Lima, vodka y ginger beer
                                    
                                ",,,"10,00"
